C¢digo;Descriá∆o;Data In°cio;Data Fim;Ato Legal In°cio;N£mero;Ano
0206.4;- Da espÇcie su°na, congeladas:;01/04/2022;31/12/9999;Res Camex;272;2021
0206.41.00;-- F°gados;01/04/2022;31/12/9999;Res Camex;272;2021
0206.49.00;-- Outras;01/04/2022;31/12/9999;Res Camex;272;2021
0206.80.00;- Outras, frescas ou refrigeradas;01/04/2022;31/12/9999;Res Camex;272;2021
0206.90.00;- Outras, congeladas;01/04/2022;31/12/9999;Res Camex;272;2021
02.07;Carnes e miudezas, comest°veis, frescas, refrigeradas ou congeladas, das aves da posiá∆o 01.05.;01/04/2022;31/12/9999;Res Camex;272;2021
0207.1;- De aves da espÇcie Gallus domesticus:;01/04/2022;31/12/9999;Res Camex;272;2021
0207.11.00;-- N∆o cortadas em pedaáos, frescas ou refrigeradas;01/04/2022;31/12/9999;Res Camex;272;2021
0207.12;-- N∆o cortadas em pedaáos, congeladas;01/04/2023;31/12/9999;Res Camex;440;2022
0207.12.10;Com miudezas;01/04/2023;31/12/9999;Res Camex;440;2022
0207.12.20;Sem miudezas;01/04/2023;31/12/9999;Res Camex;440;2022
0207.13.00;-- Pedaáos e miudezas, frescos ou refrigerados;01/04/2022;31/12/9999;Res Camex;272;2021
0207.14;-- Pedaáos e miudezas, congelados;01/08/2024;31/12/9999;Res Camex;547;2023
0207.14.1;Pedaáos n∆o desossados;01/08/2024;31/12/9999;Res Camex;547;2023
0207.14.11;Peitos;01/08/2024;31/12/9999;Res Camex;547;2023
0207.14.12;Coxas com sobrecoxas;01/08/2024;31/12/9999;Res Camex;547;2023
0207.14.13;Asas;01/08/2024;31/12/9999;Res Camex;547;2023
0207.14.19;Outros;01/08/2024;31/12/9999;Res Camex;547;2023
0207.14.2;Pedaáos desossados;01/08/2024;31/12/9999;Res Camex;547;2023
0207.14.21;Peitos, coxas e sobrecoxas, formando uma s¢ peáa;01/08/2024;31/12/9999;Res Camex;547;2023
0207.14.22;Peitos;01/08/2024;31/12/9999;Res Camex;547;2023
0207.14.23;Coxas com sobrecoxas;01/08/2024;31/12/9999;Res Camex;547;2023
0207.14.24;Carne mecanicamente separada;01/08/2024;31/12/9999;Res Camex;547;2023
0207.14.29;Outros;01/08/2024;31/12/9999;Res Camex;547;2023
0207.14.3;Miudezas;01/08/2024;31/12/9999;Res Camex;547;2023
0207.14.31;F°gados;01/08/2024;31/12/9999;Res Camex;547;2023
0207.14.32;Moelas;01/08/2024;31/12/9999;Res Camex;547;2023
0207.14.33;Coraá‰es;01/08/2024;31/12/9999;Res Camex;547;2023
0207.14.34;PÇs e patas;01/08/2024;31/12/9999;Res Camex;547;2023
0207.14.39;Outras;01/08/2024;31/12/9999;Res Camex;547;2023
0207.2;- De peruas e de perus:;01/04/2022;31/12/9999;Res Camex;272;2021
0207.24.00;-- N∆o cortadas em pedaáos, frescas ou refrigeradas;01/04/2022;31/12/9999;Res Camex;272;2021
0207.25.00;-- N∆o cortadas em pedaáos, congeladas;01/04/2022;31/12/9999;Res Camex;272;2021
